x y yfit
1.6583 -2.66486 -2.55884
1.6784 -2.67366 -2.56314
1.6985 -2.68248 -2.56743
1.7186 -2.69132 -2.57172
1.7387 -2.70019 -2.57602
1.7588 -2.70908 -2.58031
1.7789 -2.71800 -2.58461
1.7990 -2.72693 -2.58890
1.8191 -2.73589 -2.59320
1.8392 -2.74486 -2.59749
1.8593 -2.75384 -2.60179
1.8794 -2.76285 -2.60608
1.8995 -2.77187 -2.61038
1.9196 -2.78090 -2.61467
1.9397 -2.78994 -2.61897
1.9598 -2.79900 -2.62326
1.9799 -2.80806 -2.62756
2.0000 -2.81714 -2.63185
