x y yfit
1.6583 -0.56443 -0.93318
1.6784 -0.55774 -0.92403
1.6985 -0.55118 -0.91487
1.7186 -0.54463 -0.90572
1.7387 -0.53802 -0.89657
1.7588 -0.53123 -0.88742
1.7789 -0.52416 -0.87827
1.7990 -0.51673 -0.86912
1.8191 -0.50882 -0.85996
1.8392 -0.50035 -0.85081
1.8593 -0.49122 -0.84166
1.8794 -0.48131 -0.83251
1.8995 -0.47055 -0.82336
1.9196 -0.45882 -0.81420
1.9397 -0.44604 -0.80505
1.9598 -0.43209 -0.79590
1.9799 -0.41689 -0.78675
2.0000 -0.40033 -0.77760
